age,computertype,disk_capacity_as_kb,disk_model,disk_rpm,disk_type,fieldinterest,gender,gpu_manufacturer,gpu_model,gpu_processor_ddr_capacity,gpu_processor_ddr_number,gpu_processor_ddr_type,gpu_version,mainuse,memory_capacity_as_kb,memory_mhz,memory_type_number,memory_type_type,motherboard_ddrsockets,motherboard_maxram,price,processor_manufacturer,processor_mhz,processor_model,processor_numofcores
24,desk,251658240,SanDisk SSD Plus,-1,ssd,computers,male,Intel,UHD Graphics,,,,631.0,programming,16777216,3000,4.0,DDR,2,,3300.0,Intel,3000.0,Core i5-8500,6.0
30,desk,1073741824,Western Digital Blue,7200,hdd,computers,female,Intel,UHD Graphics,,,,630.0,programming,4194304,3000,4.0,DDR,2,,2100.0,Intel,3600.0,Core i3-8100,4.0
22,laptop,268435456,,-1,ssd,home,female,Intel,HD graphics,,,,520.0,programming,8388608,2666,4.0,DDR,1,,2400.0,Intel,2300.0,Core i3-7020U,2.0
24,laptop,268435456,,-1,ssd,home,female,Nvidia,GeForce MX,2097152.0,5.0,GDDR,130.0,personal use,8388608,2666,4.0,DDR,1,,2800.0,Intel,2500.0,Core i5-8250U,4.0
27,laptop,1073741824,,-1,ssd,home,male,NVIDIA,GeForce GTX,8388608.0,5.0,GDDR,1080.0,gaming,33554432,3000,4.0,DDR,1,,14600.0,Intel,2200.0,Core i7-8750H,6.0
26,laptop,524288000,,5400,hdd,computers,female,Intel,UHD Graphics,,,,605.0,programming,4194304,3000,4.0,DDR,1,,1240.0,Intel,1100.0,Pentium Silver N5000,4.0
25,laptop,536870912,,-1,ssd,computers,female,Nvidia,GeForce MX,4194304.0,5.0,GDDR,150.0,programming,8388608,3000,4.0,DDR,1,,3700.0,Intel,1800.0,Core i7-8550U,4.0
24,laptop,268435456,,-1,ssd,computers,male,Intel,HD Graphics,,,,620.0,programming,4194304,2666,4.0,DDR,1,,1800.0,Intel,2300.0,Core i3-7020U,2.0
27,laptop,536870912,,-1,ssd,computers,male,Nvidia,GeForce GTX,2097152.0,5.0,GDDR,1050.0,programming,8388608,2666,4.0,DDR,1,,5000.0,Intel,2500.0,Core i5-8250U,4.0
35,laptop,134217728,,-1,ssd,home,male,Intel,UHD Graphics,,,,610.0,personal use,4194304,3000,4.0,DDR,1,,2100.0,Intel,2300.0,Pentium 4415U,2.0
21,laptop,268435456,,-1,ssd,home,male,Nvidia,GeForce MX,2097152.0,5.0,GDDR,130.0,personal use,8388608,3000,4.0,DDR,1,,3800.0,Intel,2500.0,Core i5-8250U,4.0
21,laptop,134217728,,-1,ssd,home,male,Intel,HD Graphics,,,,605.0,personal use,4194304,3000,4.0,DDR,1,,1900.0,Intel,1100.0,Pentium Silver N5000,4.0
23,laptop,268435456,,-1,ssd,office,male,Intel,UHD Graphics,,,,620.0,work,8388608,2666,4.0,DDR,1,,3300.0,Intel,2000.0,Core i5-8250U,4.0
22,laptop,536870912,,-1,ssd,office,male,Nvidia,GeForce GTX,4194304.0,5.0,GDDR,1050.0,work,8388608,2666,4.0,DDR,1,,5400.0,Intel,2500.0,Core i5-8250U,4.0
25,laptop,524288000,,7200,hdd,office,male,Intel,HD Graphics,,,,520.0,work,4194304,3000,4.0,DDR,1,,1700.0,Intel,2000.0,Core i3-6006U,2.0
29,laptop,268435456,,-1,ssd,office,male,Intel,HD Graphics,,,,620.0,work,8388608,3000,4.0,DDR,1,,2400.0,Intel,2500.0,Core i5-8250U,4.0
30,laptop,268435456,,-1,ssd,computers,male,Nvidia,GeForce MX,2097152.0,5.0,GDDR,110.0,programming,8388608,3000,4.0,DDR,1,,3150.0,Intel,2300.0,Core i5-8250U,4.0
22,laptop,268435456,,-1,ssd,home,female,Intel,HD Graphics,,,,620.0,programming,8388608,2666,3.0,DDR,1,,3000.0,Intel,2500.0,Core i3-8145U,2.0
33,laptop,2147483648,,5400,hdd,computers,female,Intel,HD Graphics,,,,620.0,personal use,8388608,2666,4.0,DDR,1,,3500.0,Intel,2200.0,Core i5-8265U,4.0
31,laptop,268435456,,-1,ssd,computers,male,Intel,HD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2500.0,Intel,2500.0,Core i5-8250U,4.0
33,laptop,268435456,,-1,ssd,computers,male,Intel,HD Graphics,,,,520.0,personal use,4194304,3000,4.0,DDR,1,,2000.0,Intel,2300.0,Core i3-7020U,2.0
32,laptop,536870912,,-1,ssd,office,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,work,16777216,3000,4.0,DDR,1,,7000.0,Intel,3000.0,Core i7-8565U,4.0
30,laptop,268435456,,-1,ssd,office,male,Intel,HD Graphics,,,,620.0,work,8388608,3000,3.0,DDR,1,,3700.0,Intel,2300.0,Core i5-8265U,4.0
34,laptop,268435456,,-1,ssd,office,female,Intel,UHD Graphics,,,,620.0,work,4194304,3000,3.0,DDR,1,,2800.0,Intel,2700.0,Core i3-8130U,2.0
40,laptop,536870912,,-1,ssd,home,female,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,personal use,8388608,3000,4.0,DDR,1,,5700.0,Intel,3000.0,Core i7-8565U,4.0
37,laptop,268435456,,-1,ssd,computers,female,NVIDIA,GeForce MX,2097152.0,5.0,GDDR,150.0,programming,8388608,3000,4.0,DDR,1,,4200.0,Intel,2300.0,Core i5-8265U,4.0
27,laptop,1073741824,,-1,ssd,computers,male,NVIDIA,GeForce GTX,6291456.0,5.0,GDDR,1060.0,gaming,16777216,2666,4.0,DDR,2,,6400.0,Intel,3500.0,Core i7-8750H,6.0
29,laptop,134217728,,-1,ssd,computers,female,Intel,UHD Graphics,,,,620.0,programming,4194304,2666,4.0,DDR,1,,2500.0,Intel,2500.0,Core i5-8250U,4.0
28,desk,1073741824,Western Digital Blue,-1,ssd,computers,male,Intel,UHD Graphics,,,,630.0,programming,8388608,1600,4.0,DDR,2,,3000.0,Intel,2800.0,Core i5-8400,6.0
27,desk,524288000,SSD Samsung 860 EVO,-1,ssd,home,female,Intel,UHD Graphics,,,,630.0,programming,16777216,2933,4.0,DDR,2,,4700.0,Intel,3600.0,Core i9-9900K,8.0
27,desk,251658240,SanDisk SSD Plus,-1,ssd,computers,male,Nvidia,GeForce GTX,2097152.0,5.0,DDR,1050.0,gaming,16777216,2666,4.0,DDR,2,,3200.0,Intel,2900.0,Core i5-9400F,6.0
27,desk,251658240,SanDisk SSD Plus,-1,ssd,computers,male,Intel,UHD Graphics,,,,630.0,programming,8388608,2666,4.0,DDR,2,,1900.0,Intel,3600.0,Core i3-8100,4.0
25,desk,503316480,,-1,ssd,home,male,Nvidia,GEFORCE GTX,4194304.0,5.0,DDR,1050.0,personal use,8388608,1600,3.0,DDR,2,,3500.0,Intel,3900.0,Core i7-4770,4.0
24,desk,251658240,Pioneer SL2 APS,-1,ssd,computers,female,Intel,UHD Graphics,,,,630.0,programming,8388608,2140,4.0,DDR,2,,2000.0,Intel,3700.0,Pentium Gold G5400,2.0
23,desk,1073741824,Seagate Barracuda,7200,hdd,computers,male,Intel,UHD Graphics,,,,630.0,programming,4194304,2400,4.0,DDR,2,,1700.0,Intel,3400.0,Core i3-7100T,2.0
24,desk,536870912,Transcend SSD230S,-1,ssd,computers,male,NVIDIA,GeForce GTX,6291456.0,5.0,GDDR,1060.0,gaming,16777216,2666,4.0,DDR,2,,8300.0,Intel,3200.0,Core i7-8700,6.0
27,laptop,268435456,,-1,ssd,computers,male,AMD,Radeon,2097152.0,,,530.0,programming,8388608,3000,4.0,DDR,1,,2700.0,Intel,2500.0,Core i5-8250U,4.0
29,desk,251658240,Kingston UV500 M.2,-1,ssd,computers,male,AMD,Radeon Vega,,,,,personal use,16777216,2933,4.0,DDR,2,,2800.0,AMD,3500.0,Athlon 240GE,2.0
30,laptop,524288000,,5400,hdd,computers,male,Intel,HD Graphics,,,,520.0,personal use,8388608,2133,4.0,DDR,1,,2000.0,Intel,2000.0,Core i3-6006U,2.0
32,laptop,536870912,,-1,ssd,home,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,gaming,33554432,2666,4.0,DDR,2,,7000.0,Intel,3200.0,Core i7-8750H,4.0
33,laptop,268435456,,-1,ssd,home,male,AMD,Radeon,2097152.0,5.0,GDDR,520.0,programming,8388608,2666,4.0,DDR,1,,2600.0,Intel,2300.0,Core i5-8265U,4.0
20,laptop,268435456,,-1,ssd,home,male,Intel,UHD Graphics,,,,620.0,programming,8388608,2400,4.0,DDR,1,,2700.0,Intel,2200.0,Core i3-8130U,2.0
24,laptop,268435456,,-1,ssd,computers,female,NVIDIA,GeForce MX,2097152.0,6.0,GDDR,150.0,programming,8388608,2133,4.0,DDR,1,,2800.0,Intel,2500.0,Core i5-8250U,4.0
30,laptop,268435456,,-1,ssd,computers,female,NVIDIA,GeForce MX,2097152.0,5.0,GDDR,130.0,personal use,8388608,2666,4.0,DDR,1,,3400.0,Intel,2300.0,Core i5-8265U,4.0
22,laptop,536870912,,-1,ssd,home,female,AMD,Radeon,2097152.0,5.0,GDDR,535.0,personal use,8388608,2400,4.0,DDR,1,,3200.0,Intel,2500.0,Core i5-8250U,4.0
24,laptop,536870912,,-1,ssd,home,male,AMD,Radeon,2097152.0,5.0,GDDR,535.0,programming,8388608,2400,4.0,DDR,1,,3200.0,Intel,2500.0,Core i5-8250U,4.0
27,laptop,268435456,,-1,ssd,home,female,Intel,UHD Graphics,,,,620.0,programming,8388608,1866,3.0,LPDDR,1,,4000.0,Intel,2300.0,Core i5-8265U,4.0
26,laptop,268435456,,-1,ssd,computers,female,NVIDIA,GeForce MX,2097152.0,5.0,GDDR,130.0,programming,8388608,2133,4.0,DDR,1,,3400.0,Intel,1800.0,Core i7-8550U,4.0
25,laptop,536870912,,-1,ssd,computers,male,AMD,Radeon,2097152.0,5.0,GDDR,535.0,programming,8388608,2400,4.0,DDR,1,,3000.0,Intel,2500.0,Core i5-8250U,4.0
24,laptop,268435456,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,personal use,8388608,2133,3.0,LPDDR,1,,4100.0,Intel,2300.0,Core i5-8265U,4.0
27,laptop,536870912,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,personal use,8388608,1866,3.0,LPDDR,1,,4300.0,Intel,2300.0,Core i5-8265U,4.0
35,laptop,268435456,,-1,ssd,home,male,Intel,UHD Graphics,,,,620.0,personal use,8388608,2133,3.0,LPDDR,1,,5000.0,Intel,2300.0,Core i5-8265U,4.0
21,laptop,536870912,,-1,ssd,office,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,work,8388608,2400,4.0,DDR,1,,4400.0,Intel,3100.0,Core i7-8750H,6.0
21,laptop,536870912,,-1,ssd,home,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,gaming,16777216,2666,4.0,DDR,2,,5700.0,Intel,3100.0,Core i7-8750H,6.0
23,laptop,67108864,,5400,emmc,office,male,Intel,UHD Graphics,,,,600.0,work,2097152,2133,4.0,LPDDR,1,,1250.0,Intel,2500.0,Celeron N4000,2.0
22,laptop,1073741824,,5400,hdd,office,male,Intel,HD Graphics,,,,620.0,work,4194304,2666,4.0,DDR,1,,2000.0,Intel,2300.0,Core i3-7020U,2.0
25,laptop,1073741824,,7200,hdd,office,male,Intel,HD Graphics,,,,620.0,programming,4194304,2400,4.0,DDR,1,,2100.0,Intel,2300.0,Core i3-7020U,2.0
29,laptop,268435456,,-1,ssd,office,male,Intel,UHD Graphics,,,,620.0,programming,8388608,2133,4.0,DDR,1,,2400.0,Intel,2500.0,Core i5-8250U,4.0
30,laptop,524288000,,5400,hdd,computers,female,Intel,UHD Graphics,,,,620.0,personal use,8388608,2133,4.0,DDR,1,,2500.0,Intel,2500.0,Core i5-8250U,4.0
22,laptop,1073741824,,5400,hdd,home,female,Intel,UHD Graphics,,,,620.0,programming,8388608,2400,4.0,DDR,1,,3000.0,Intel,2500.0,Core i5-8250U,4.0
33,desk,251658240,Kingston A400,-1,ssd,computers,male,intel,HD Graphics,,,,630.0,personal use,8388608,2400,4.0,DDR,2,,2700.0,Intel,3600.0,Core i3-8100,4.0
31,laptop,268435456,,-1,ssd,computers,male,Intel,HD Graphics,,,,620.0,work,8388608,2666,4.0,DDR,1,,2500.0,Intel,2500.0,Core i5-8250U,4.0
33,laptop,536870912,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,work,8388608,2400,4.0,DDR,1,,2650.0,Intel,2500.0,Core i5-8250U,4.0
32,laptop,268435456,,-1,ssd,office,male,Intel,UHD Graphics,,,,620.0,work,8388608,2400,4.0,DDR,1,,2800.0,Intel,2200.0,Core i3-8130U,2.0
30,laptop,536870912,,-1,ssd,home,female,Intel,UHD Graphics,,,,620.0,personal use,8388608,2133,4.0,DDR,1,,3000.0,Intel,3000.0,Core i7-8550U,4.0
34,desk,1073741824,Western Digital Caviar Blue,5400,hdd,office,female,intel,HD Graphics,,,,630.0,programming,8388608,2400,4.0,DDR,2,,2900.0,Intel,3700.0,Core i5-9600K,6.0
40,desk,536870912,Transcend SSD230S,-1,ssd,home,female,intel,HD Graphics,,,,630.0,programming,16777216,2400,4.0,DDR,2,,3800.0,Intel,4900.0,Core i7-9700K,8.0
37,desk,503316480,Kingston UV500 2.5,-1,ssd,computers,male,Asus,GTX,6291456.0,5.0,GDDR,1060.0,gaming,8388608,3000,4.0,DDR,2,,4450.0,Intel,3700.0,Core i5-9600K,6.0
27,desk,1073741824,Western Digital Caviar Blue,-1,ssd,office,female,intel,HD Graphics,,,,630.0,work,8388608,2400,4.0,DDR,2,,2300.0,Intel,3600.0,Core i3-8100,4.0
40,laptop,1073741824,,5400,hdd,home,male,Intel,UHD Graphics,,,,620.0,programming,8388608,2133,4.0,DDR,1,,2400.0,Intel,2500.0,Core i5-8250U,4.0
37,laptop,1073741824,,-1,ssd,home,male,NVIDIA,GeForce RTX,8388608.0,6.0,GDDR,2070.0,gaming,25165824,2666,4.0,DDR,2,,13000.0,Intel,3200.0,Core i7-8750H,4.0
27,laptop,536870912,,-1,ssd,home,male,Intel,HD Graphics,,,,620.0,programming,8388608,2133,4.0,DDR,1,,3000.0,Intel,2500.0,Core i5-8250U,4.0
29,laptop,536870912,,-1,ssd,computers,male,AMD,Radeon,2097152.0,5.0,GDDR,540.0,programming,8388608,2400,4.0,DDR,1,,3300.0,Intel,1800.0,Core i7-8550U,4.0
28,laptop,536870912,,-1,ssd,computers,female,NVIDIA,Geforce GTX,4194304.0,5.0,GDDR,1050.0,personal use,8388608,2666,4.0,DDR,1,,3700.0,Intel,2300.0,Core i5-8300H,4.0
27,laptop,536870912,,-1,ssd,home,female,AMD,Radeon,2097152.0,5.0,GDDR,540.0,personal use,8388608,2400,4.0,DDR,1,,3900.0,Intel,3000.0,Core i7-8565U,4.0
27,desk,251658240,Kingston A400,-1,ssd,home,male,Asus,GT,1048576.0,5.0,GDDR,710.0,programming,8388608,2400,4.0,DDR,2,,2000.0,AMD,3400.0,Ryzen 5 2600,6.0
27,desk,1073741824,Western Digital Caviar Blue,5400,hdd,home,male,AMD,Radeon Vega,,,,,programming,8388608,2400,4.0,DDR,2,,1600.0,AMD,3500.0,Ryzen 3 2200G,4.0
25,desk,251658240,Kingston A400,-1,ssd,computers,male,ASUS,ROG STRIX-GTX,2097152.0,5.0,GDDR,1050.0,gaming,8388608,2666,4.0,DDR,2,,4450.0,Intel,2900.0,Core i5-9400F,6.0
24,desk,536870912,Transcend SSD230S,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,2400,4.0,DDR,2,,3150.0,Intel,3700.0,Core i5-9600K,6.0
23,desk,536870912,SanDisk SSD Plus,-1,ssd,computers,female,Intel,UHD Graphics,,,,620.0,personal use,8388608,2666,4.0,DDR,2,,2000.0,Intel,3600.0,Core i3-8100,4.0
24,laptop,268435456,,-1,ssd,computers,female,NVIDIA,GeForce MX,2097152.0,5.0,GDDR,130.0,personal use,8388608,2666,4.0,DDR,1,,3800.0,Intel,2500.0,Core i5-8250U,4.0
27,laptop,268435456,,-1,ssd,home,female,Nvidia,GeForce,2097152.0,5.0,GDDR,930.0,personal use,8388608,2666,4.0,DDR,1,,3000.0,Intel,2500.0,Core i5-8250U,4.0
29,laptop,268435456,,-1,ssd,office,male,Intel,UHD Graphics,,,,620.0,work,8388608,2666,4.0,DDR,1,,2650.0,Intel,2500.0,Core i5-8250U,4.0
30,laptop,1073741824,,-1,ssd,home,female,NVIDIA,GeForce GTX,8388608.0,5.0,GDDR,1080.0,gaming,25165824,2666,4.0,DDR,2,,12200.0,Intel,3100.0,Core i7-8750H,6.0
32,laptop,268435456,,-1,ssd,office,male,Intel,UHD Graphics,,,,620.0,work,8388608,2400,3.0,LPDDR,1,,4000.0,Intel,1800.0,Core i7-8550U,4.0
33,laptop,524288000,,7200,hdd,office,male,Intel,UHD Graphics,,,,620.0,work,4194304,2400,4.0,DDR,1,,2300.0,Intel,2500.0,Core i5-8250U,4.0
20,laptop,268435456,,-1,ssd,office,male,Nvidia,GeForce MX,4194304.0,5.0,GDDR,150.0,programming,8388608,2133,4.0,DDR,1,,3600.0,Intel,1800.0,Core i7-8550U,4.0
24,laptop,536870912,,-1,ssd,office,male,Nvidia,GeForce GTX,4194304.0,5.0,GDDR,1050.0,programming,8388608,2400,4.0,DDR,1,,5800.0,Intel,2300.0,Core i5-8265U,4.0
30,laptop,67108864,,7200,emmc,computers,female,intel,HD Graphics,,,,,personal use,4194304,2400,4.0,LPDDR,1,,1200.0,Intel,2500.0,Celeron N4000,2.0
22,laptop,268435456,,-1,ssd,home,female,Intel,UHD Graphics,,,,620.0,programming,8388608,2666,4.0,DDR,1,,3400.0,Intel,2200.0,Core i3-8130U,2.0
24,laptop,536870912,,-1,ssd,computers,male,AMD,RADEON,2097152.0,5.0,GDDR,535.0,personal use,8388608,2400,4.0,DDR,1,,2900.0,Intel,2500.0,Core i5-8250U,4.0
27,laptop,536870912,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,work,8388608,2400,4.0,DDR,1,,,Intel,2200.0,Core i3-8130U,2.0
29,laptop,524288000,ST500LM000-SSHD-8GB,5400,ssd,computers,male,NVIDIA,GeForce,962560.0,3.0,DDR,940.0,programming,8388608,1600,3.0,DDR,1,8388608.0,3200.0,Intel,2500.0,Core i7-6500U,4.0
23,desk,1073741824,Western Digital Blue,7200,ssd,home,male,Asus,GeForce GTX,6291456.0,6.0,GDDR,1660.0,gaming,8388608,2666,4.0,DDR,2,,3500.0,Intel,2900.0,Core i5-9400F,6.0
24,desk,1073741824,Western Digital Blue,7200,ssd,computers,female,Intel,UHD Graphics,,,,630.0,programming,16777216,2666,4.0,DDR,2,,3250.0,Intel,2800.0,Core i5-8400,6.0
27,laptop,2147483648,,5400,ssd,home,male,AMD,Radeon,4194304.0,,,530.0,gaming,33554432,2666,4.0,DDR,1,,6500.0,Intel,1800.0,Core i7-8550U,4.0
29,laptop,1073741824,,7200,ssd,computers,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,gaming,8388608,3000,4.0,DDR,1,,6300.0,Intel,2200.0,Core i7-8750H,6.0
26,laptop,1073741824,,5400,ssd,computers,male,Intel,UHD Graphics,,,,620.0,gaming,8388608,2666,4.0,DDR,1,,2400.0,Intel,1600.0,Core i5-8250U,4.0
25,laptop,1073741824,,5400,ssd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2200.0,Intel,2300.0,Core i3-7020U,2.0
24,laptop,1073741824,,5400,ssd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2000.0,Intel,2300.0,Core i3-7020U,2.0
20,desk,1073741824,Western Digital Blue,7200,ssd,home,male,Nvidia,GeForce GTX,6291456.0,6.0,GDDR,1660.0,gaming,8388608,2666,4.0,DDR,2,,4200.0,Intel,2900.0,Core i5-9400F,6.0
30,desk,1073741824,Western Digital Blue,7200,ssd,computers,female,Intel,UHD Graphics,,,,630.0,programming,4194304,3000,4.0,DDR,2,,2100.0,Intel,3600.0,Core i3-8100,4.0
26,laptop,524288000,,5400,ssd,computers,female,Intel,UHD Graphics,,,,605.0,programming,4194304,3000,4.0,DDR,1,,1240.0,Intel,1100.0,Pentium Silver N5000,4.0
23,desk,1073741824,Seagate Barracuda,7200,ssd,computers,male,Intel,UHD Graphics,,,,630.0,programming,4194304,2400,4.0,DDR,2,,1700.0,Intel,3400.0,Core i3-7100T,2.0
25,laptop,1073741824,,7200,ssd,office,male,Intel,HD Graphics,,,,620.0,programming,4194304,2400,4.0,DDR,1,,2100.0,Intel,2300.0,Core i3-7020U,2.0
22,laptop,1073741824,,5400,ssd,home,female,Intel,UHD Graphics,,,,620.0,programming,8388608,2400,4.0,DDR,1,,3000.0,Intel,2500.0,Core i5-8250U,4.0
34,desk,1073741824,Western Digital Caviar Blue,5400,ssd,office,female,intel,HD Graphics,,,,630.0,programming,8388608,2400,4.0,DDR,2,,2900.0,Intel,3700.0,Core i5-9600K,6.0
